ref_id,ref_text
REF0001,https://www.sunshine.org.tw/service/index/oral_cancer/196
REF0002,https://www.canceraway.org.tw/page.php?IDno=4401
REF0003,https://doi.org/10.6320/FJM.202009_24(5
REF0004,https://elearning.canceraway.org.tw/page.php?IDno=2881
REF0005,https://ghsha.com/articles/161
REF0006,https://www.chimei.org.tw/main/cmh_department/59012/info/7730/A7730007.html
REF0007,https://www.sunshine.org.tw/service/index/oral_cancer/oral-service-origin
REF0008,https://elearning.canceraway.org.tw/page.php?IDno=1359
REF0009,https://elearning.canceraway.org.tw/page.php?IDno=3933
REF0010,https://elearning.canceraway.org.tw/page.php?IDno=1613
REF0011,https://www.tci-mandarin.com/ec99/rwd1277/category.asp?category_id=496
REF0012,https://www.edh.tw/article/34054
REF0013,https://elearning.canceraway.org.tw/page.php?IDno=4810
REF0014,https://www.tccf.org.tw/tccfadmin/admin/index.php?act=disqanda&disease=3
REF0015,https://ihealth.vghtc.gov.tw/media/640
REF0016,https://www.sunshine.org.tw/uploads/files/download/service-manual/oralcancer_manual.pdf
REF0017,https://www.cancercarers.org.hk/%E7%97%85%E4%BA%BA%E6%97%85%E7%A8%8B/%E5%A3%9E%E6%B6%88%E6%81%AF%E7%9A%84%E4%BE%86%E8%87%A8%E2%80%94%E2%80%94%E5%A6%82%E4%BD%95%E9%9D%A2%E5%B0%8D
REF0018,https://ihealth.vghtpe.gov.tw/media/814
REF0019,https://doi-org.autorpa.ntunhs.edu.tw:8443/10.6692/KJN-2017-34-2-11
REF0020,https://www.canceraway.org.tw/page.php?IDno=3817
REF0021,http://web.tccf.org.tw/lib/addon.php?act=post&id=5068
REF0022,https://www.canceraway.org.tw/page.php?IDno=2166
REF0023,https://wd.vghtpe.gov.tw/dent/Fpage.action?muid=3626&fid=2882
REF0024,https://www.tci-mandarin.com/ec99/rwd1277/category.asp?category_id=124
REF0025,https://elearning.canceraway.org.tw/page.php?IDno=4401
REF0026,https://www-airitilibrary-com.autorpa.ntunhs.edu.tw:8443/Article/Detail?DocID=1819026x-201704-201706200019-201706200019-140-151
REF0027,https://www.pohai.org.tw/health_detail.php?PKey=1037
REF0028,https://doi-org.autorpa.ntunhs.edu.tw:8443/10.3966/102673012016032701012
REF0029,https://www.thenewslens.com/article/177906
REF0030,https://elearning.canceraway.org.tw/page.php?IDno=3815
REF0031,https://cancer.commonhealth.com.tw/article/861
REF0032,http://web.tccf.org.tw/lib/addon.php?act=post&id=663
REF0033,https://www.tccf.org.tw/tccfadmin/admin/index.php?act=dismode&disease=%E5%8F%A3%E8%85%94%E7%99%8C&mode=6&tagid=3
REF0034,https://www.tccf.org.tw/tccfadmin/admin/index.php?act=dismode&disease=%E5%8F%A3%E8%85%94%E7%99%8C&mode=6&tagid=4
REF0035,https://www.tccf.org.tw/tccfadmin/admin/index.php?act=dismode&disease=%E5%8F%A3%E8%85%94%E7%99%8C&mode=6&tagid=5
